Task group code,Grade,URL
G1,E,https://learn.henley.id.au/science/geology/activities/g1-e.html
G1,D,https://learn.henley.id.au/science/geology/activities/g1-d.html
G1,C,https://learn.henley.id.au/science/geology/activities/g1-c.html
G1,B,https://learn.henley.id.au/science/geology/activities/g1-b.html
G1,A,https://learn.henley.id.au/science/geology/activities/g1-a.html
G2,E,https://learn.henley.id.au/science/geology/activities/g2-e.html
G2,D,https://learn.henley.id.au/science/geology/activities/g2-d.html
G2,C,https://learn.henley.id.au/science/geology/activities/g2-c.html
G2,B,https://learn.henley.id.au/science/geology/activities/g2-b.html
G2,A,https://learn.henley.id.au/science/geology/activities/g2-a.html
G3,E,https://learn.henley.id.au/science/geology/activities/g3-e.html
G3,D,https://learn.henley.id.au/science/geology/activities/g3-d.html
G3,C,https://learn.henley.id.au/science/geology/activities/g3-c.html
G3,B,https://learn.henley.id.au/science/geology/activities/g3-b.html
G3,A,https://learn.henley.id.au/science/geology/activities/g3-a.html
G4,E,https://learn.henley.id.au/science/geology/activities/g4-e.html
G4,D,https://learn.henley.id.au/science/geology/activities/g4-d.html
G4,C,https://learn.henley.id.au/science/geology/activities/g4-c.html
G4,B,https://learn.henley.id.au/science/geology/activities/g4-b.html
G4,A,https://learn.henley.id.au/science/geology/activities/g4-a.html
G5,E,https://learn.henley.id.au/science/geology/activities/g5-e.html
G5,D,https://learn.henley.id.au/science/geology/activities/g5-d.html
G5,C,https://learn.henley.id.au/science/geology/activities/g5-c.html
G5,B,https://learn.henley.id.au/science/geology/activities/g5-b.html
G5,A,https://learn.henley.id.au/science/geology/activities/g5-a.html
S1,E,https://learn.henley.id.au/science/solar-system/activities/s1-e.html
S1,D,https://learn.henley.id.au/science/solar-system/activities/s1-d.html
S1,C,https://learn.henley.id.au/science/solar-system/activities/s1-c.html
S1,B,https://learn.henley.id.au/science/solar-system/activities/s1-b.html
S1,A,https://learn.henley.id.au/science/solar-system/activities/s1-a.html
S2,E,https://learn.henley.id.au/science/solar-system/activities/s2-e.html
S2,D,https://learn.henley.id.au/science/solar-system/activities/s2-d.html
S2,C,https://learn.henley.id.au/science/solar-system/activities/s2-c.html
S2,B,https://learn.henley.id.au/science/solar-system/activities/s2-b.html
S2,A,https://learn.henley.id.au/science/solar-system/activities/s2-a.html
S3,E,https://learn.henley.id.au/science/solar-system/activities/s3-e.html
S3,D,https://learn.henley.id.au/science/solar-system/activities/s3-d.html
S3,C,https://learn.henley.id.au/science/solar-system/activities/s3-c.html
S3,B,https://learn.henley.id.au/science/solar-system/activities/s3-b.html
S3,A,https://learn.henley.id.au/science/solar-system/activities/s3-a.html
S4,E,https://learn.henley.id.au/science/solar-system/activities/s4-e.html
S4,D,https://learn.henley.id.au/science/solar-system/activities/s4-d.html
S4,C,https://learn.henley.id.au/science/solar-system/activities/s4-c.html
S4,B,https://learn.henley.id.au/science/solar-system/activities/s4-b.html
S4,A,https://learn.henley.id.au/science/solar-system/activities/s4-a.html
GP1,E,https://learn.henley.id.au/science/geology/activities/gp1-e.html
GP1,D,https://learn.henley.id.au/science/geology/activities/gp1-d.html
GP1,C,https://learn.henley.id.au/science/geology/activities/gp1-c.html
GP1,B,https://learn.henley.id.au/science/geology/activities/gp1-b.html
GP1,A,https://learn.henley.id.au/science/geology/activities/gp1-a.html
GP2,E,https://learn.henley.id.au/science/geology/activities/gp2-e.html
GP2,D,https://learn.henley.id.au/science/geology/activities/gp2-d.html
GP2,C,https://learn.henley.id.au/science/geology/activities/gp2-c.html
GP2,B,https://learn.henley.id.au/science/geology/activities/gp2-b.html
GP2,A,https://learn.henley.id.au/science/geology/activities/gp2-a.html
GP3,E,https://learn.henley.id.au/science/geology/activities/gp3-e.html
GP3,D,https://learn.henley.id.au/science/geology/activities/gp3-d.html
GP3,C,https://learn.henley.id.au/science/geology/activities/gp3-c.html
GP3,B,https://learn.henley.id.au/science/geology/activities/gp3-b.html
GP3,A,https://learn.henley.id.au/science/geology/activities/gp3-a.html
GP4,E,https://learn.henley.id.au/science/geology/activities/gp4-e.html
GP4,D,https://learn.henley.id.au/science/geology/activities/gp4-d.html
GP4,C,https://learn.henley.id.au/science/geology/activities/gp4-c.html
GP4,B,https://learn.henley.id.au/science/geology/activities/gp4-b.html
GP4,A,https://learn.henley.id.au/science/geology/activities/gp4-a.html
GP5,E,https://learn.henley.id.au/science/geology/activities/gp5-e.html
GP5,D,https://learn.henley.id.au/science/geology/activities/gp5-d.html
GP5,C,https://learn.henley.id.au/science/geology/activities/gp5-c.html
GP5,B,https://learn.henley.id.au/science/geology/activities/gp5-b.html
GP5,A,https://learn.henley.id.au/science/geology/activities/gp5-a.html
SP1,E,https://learn.henley.id.au/science/solar-system/activities/sp1-e.html
SP1,D,https://learn.henley.id.au/science/solar-system/activities/sp1-d.html
SP1,C,https://learn.henley.id.au/science/solar-system/activities/sp1-c.html
SP1,B,https://learn.henley.id.au/science/solar-system/activities/sp1-b.html
SP1,A,https://learn.henley.id.au/science/solar-system/activities/sp1-a.html
SP2,E,https://learn.henley.id.au/science/solar-system/activities/sp2-e.html
SP2,D,https://learn.henley.id.au/science/solar-system/activities/sp2-d.html
SP2,C,https://learn.henley.id.au/science/solar-system/activities/sp2-c.html
SP2,B,https://learn.henley.id.au/science/solar-system/activities/sp2-b.html
SP2,A,https://learn.henley.id.au/science/solar-system/activities/sp2-a.html
SP3,E,https://learn.henley.id.au/science/solar-system/activities/sp3-e.html
SP3,D,https://learn.henley.id.au/science/solar-system/activities/sp3-d.html
SP3,C,https://learn.henley.id.au/science/solar-system/activities/sp3-c.html
SP3,B,https://learn.henley.id.au/science/solar-system/activities/sp3-b.html
SP3,A,https://learn.henley.id.au/science/solar-system/activities/sp3-a.html
