Task group code,Grade,URL
T1,C,https://learn.henley.id.au/computing/arduino-year8/activity-T1/level1.html
P1,C,https://learn.henley.id.au/computing/arduino-year8/activity-P1/level1.html
C1,C,https://learn.henley.id.au/computing/arduino-year8/activity-C1/level1.html
C2,E,https://learn.henley.id.au/computing/arduino-year8/activity-C2/level1.html
C2,D,https://learn.henley.id.au/computing/arduino-year8/activity-C2/level2.html
C2,C,https://learn.henley.id.au/computing/arduino-year8/activity-C2/level3.html
C2,B,https://learn.henley.id.au/computing/arduino-year8/activity-C2/level4.html
C2,A,https://learn.henley.id.au/computing/arduino-year8/activity-C2/level5.html
C3,E,https://learn.henley.id.au/computing/arduino-year8/activity-C3/level1.html
C3,D,https://learn.henley.id.au/computing/arduino-year8/activity-C3/level2.html
C3,C,https://learn.henley.id.au/computing/arduino-year8/activity-C3/level3.html
C3,B,https://learn.henley.id.au/computing/arduino-year8/activity-C3/level4.html
C4,A,https://learn.henley.id.au/computing/arduino-year8/activity-C3/level5.html
C4,E,https://learn.henley.id.au/computing/arduino-year8/activity-C4/level1.html
C4,D,https://learn.henley.id.au/computing/arduino-year8/activity-C4/level2.html
C4,C,https://learn.henley.id.au/computing/arduino-year8/activity-C4/level3.html
C4,B,https://learn.henley.id.au/computing/arduino-year8/activity-C4/level4.html
C5,A,https://learn.henley.id.au/computing/arduino-year8/activity-C4/level5.html
C5,E,https://learn.henley.id.au/computing/arduino-year8/activity-C5/level1.html
C5,D,https://learn.henley.id.au/computing/arduino-year8/activity-C5/level2.html
C5,C,https://learn.henley.id.au/computing/arduino-year8/activity-C5/level3.html
C5,B,https://learn.henley.id.au/computing/arduino-year8/activity-C5/level4.html
C6,A,https://learn.henley.id.au/computing/arduino-year8/activity-C5/level5.html
C6,E,https://learn.henley.id.au/computing/arduino-year8/activity-C6/level1.html
C6,D,https://learn.henley.id.au/computing/arduino-year8/activity-C6/level2.html
C6,C,https://learn.henley.id.au/computing/arduino-year8/activity-C6/level3.html
C6,B,https://learn.henley.id.au/computing/arduino-year8/activity-C6/level4.html
C6,A,https://learn.henley.id.au/computing/arduino-year8/activity-C6/level5.html
C7,E,https://learn.henley.id.au/computing/arduino-year8/activity-C7/level1.html
C7,D,https://learn.henley.id.au/computing/arduino-year8/activity-C7/level2.html
C7,C,https://learn.henley.id.au/computing/arduino-year8/activity-C7/level3.html
C7,B,https://learn.henley.id.au/computing/arduino-year8/activity-C7/level4.html
C7,A,https://learn.henley.id.au/computing/arduino-year8/activity-C7/level5.html
E1,C,https://learn.henley.id.au/computing/arduino-year8/activity-E1/level1.html
E2,C,https://learn.henley.id.au/computing/arduino-year8/activity-E2/level1.html
E3,C,https://learn.henley.id.au/computing/arduino-year8/activity-E3/level1.html
E4,C,https://learn.henley.id.au/computing/arduino-year8/activity-E4/level1.html
E5,C,https://learn.henley.id.au/computing/arduino-year8/activity-E5/level1.html
E6,C,https://learn.henley.id.au/computing/arduino-year8/activity-E6/level1.html
P2,E,https://learn.henley.id.au/computing/arduino-year8/activity-P2/level1.html
P2,D,https://learn.henley.id.au/computing/arduino-year8/activity-P2/level2.html
P2,C,https://learn.henley.id.au/computing/arduino-year8/activity-P2/level3.html
P2,B,https://learn.henley.id.au/computing/arduino-year8/activity-P2/level4.html
P2,A,https://learn.henley.id.au/computing/arduino-year8/activity-P2/level5.html
F1,E,https://learn.henley.id.au/computing/arduino-year8/activity-F1/level1.html
F1,D,https://learn.henley.id.au/computing/arduino-year8/activity-F1/level2.html
F1,C,https://learn.henley.id.au/computing/arduino-year8/activity-F1/level3.html
F1,B,https://learn.henley.id.au/computing/arduino-year8/activity-F1/level4.html
F1,A,https://learn.henley.id.au/computing/arduino-year8/activity-F1/level5.html
F2,E,https://learn.henley.id.au/computing/arduino-year8/activity-F2/level1.html
F2,D,https://learn.henley.id.au/computing/arduino-year8/activity-F2/level2.html
F2,C,https://learn.henley.id.au/computing/arduino-year8/activity-F2/level3.html
F2,B,https://learn.henley.id.au/computing/arduino-year8/activity-F2/level4.html
F2,A,https://learn.henley.id.au/computing/arduino-year8/activity-F2/level5.html
