Task group code,Grade,URL
R1,E,https://learn.henley.id.au/science/earth-resources/activities/r1-e.html
R1,D,https://learn.henley.id.au/science/earth-resources/activities/r1-d.html
R1,C,https://learn.henley.id.au/science/earth-resources/activities/r1-c.html
R1,B,https://learn.henley.id.au/science/earth-resources/activities/r1-b.html
R1,A,https://learn.henley.id.au/science/earth-resources/activities/r1-a.html
R2,E,https://learn.henley.id.au/science/earth-resources/activities/r2-e.html
R2,D,https://learn.henley.id.au/science/earth-resources/activities/r2-d.html
R2,C,https://learn.henley.id.au/science/earth-resources/activities/r2-c.html
R2,B,https://learn.henley.id.au/science/earth-resources/activities/r2-b.html
R2,A,https://learn.henley.id.au/science/earth-resources/activities/r2-a.html
R3,E,https://learn.henley.id.au/science/earth-resources/activities/r3-e.html
R3,D,https://learn.henley.id.au/science/earth-resources/activities/r3-d.html
R3,C,https://learn.henley.id.au/science/earth-resources/activities/r3-c.html
R3,B,https://learn.henley.id.au/science/earth-resources/activities/r3-b.html
R3,A,https://learn.henley.id.au/science/earth-resources/activities/r3-a.html
R4,E,https://learn.henley.id.au/science/earth-resources/activities/r4-e.html
R4,D,https://learn.henley.id.au/science/earth-resources/activities/r4-d.html
R4,C,https://learn.henley.id.au/science/earth-resources/activities/r4-c.html
R4,B,https://learn.henley.id.au/science/earth-resources/activities/r4-b.html
R4,A,https://learn.henley.id.au/science/earth-resources/activities/r4-a.html
R5,E,https://learn.henley.id.au/science/earth-resources/activities/r5-e.html
R5,D,https://learn.henley.id.au/science/earth-resources/activities/r5-d.html
R5,C,https://learn.henley.id.au/science/earth-resources/activities/r5-c.html
R5,B,https://learn.henley.id.au/science/earth-resources/activities/r5-b.html
R5,A,https://learn.henley.id.au/science/earth-resources/activities/r5-a.html
R6,E,https://learn.henley.id.au/science/earth-resources/activities/r6-e.html
R6,D,https://learn.henley.id.au/science/earth-resources/activities/r6-d.html
R6,C,https://learn.henley.id.au/science/earth-resources/activities/r6-c.html
R6,B,https://learn.henley.id.au/science/earth-resources/activities/r6-b.html
R6,A,https://learn.henley.id.au/science/earth-resources/activities/r6-a.html
R7,E,https://learn.henley.id.au/science/earth-resources/activities/r7-e.html
R7,D,https://learn.henley.id.au/science/earth-resources/activities/r7-d.html
R7,C,https://learn.henley.id.au/science/earth-resources/activities/r7-c.html
R7,B,https://learn.henley.id.au/science/earth-resources/activities/r7-b.html
R7,A,https://learn.henley.id.au/science/earth-resources/activities/r7-a.html
R8,E,https://learn.henley.id.au/science/earth-resources/activities/r8-e.html
R8,D,https://learn.henley.id.au/science/earth-resources/activities/r8-d.html
R8,C,https://learn.henley.id.au/science/earth-resources/activities/r8-c.html
R8,B,https://learn.henley.id.au/science/earth-resources/activities/r8-b.html
R8,A,https://learn.henley.id.au/science/earth-resources/activities/r8-a.html
R9,E,https://learn.henley.id.au/science/earth-resources/activities/r9-e.html
R9,D,https://learn.henley.id.au/science/earth-resources/activities/r9-d.html
R9,C,https://learn.henley.id.au/science/earth-resources/activities/r9-c.html
R9,B,https://learn.henley.id.au/science/earth-resources/activities/r9-b.html
R9,A,https://learn.henley.id.au/science/earth-resources/activities/r9-a.html
RP1,E,https://learn.henley.id.au/science/earth-resources/activities/rp1-e.html
RP1,D,https://learn.henley.id.au/science/earth-resources/activities/rp1-d.html
RP1,C,https://learn.henley.id.au/science/earth-resources/activities/rp1-c.html
RP1,B,https://learn.henley.id.au/science/earth-resources/activities/rp1-b.html
RP1,A,https://learn.henley.id.au/science/earth-resources/activities/rp1-a.html
RP2,E,https://learn.henley.id.au/science/earth-resources/activities/rp2-e.html
RP2,D,https://learn.henley.id.au/science/earth-resources/activities/rp2-d.html
RP2,C,https://learn.henley.id.au/science/earth-resources/activities/rp2-c.html
RP2,B,https://learn.henley.id.au/science/earth-resources/activities/rp2-b.html
RP2,A,https://learn.henley.id.au/science/earth-resources/activities/rp2-a.html
RP3,E,https://learn.henley.id.au/science/earth-resources/activities/rp3-e.html
RP3,D,https://learn.henley.id.au/science/earth-resources/activities/rp3-d.html
RP3,C,https://learn.henley.id.au/science/earth-resources/activities/rp3-c.html
RP3,B,https://learn.henley.id.au/science/earth-resources/activities/rp3-b.html
RP3,A,https://learn.henley.id.au/science/earth-resources/activities/rp3-a.html
RP4,E,https://learn.henley.id.au/science/earth-resources/activities/rp4-e.html
RP4,D,https://learn.henley.id.au/science/earth-resources/activities/rp4-d.html
RP4,C,https://learn.henley.id.au/science/earth-resources/activities/rp4-c.html
RP4,B,https://learn.henley.id.au/science/earth-resources/activities/rp4-b.html
RP4,A,https://learn.henley.id.au/science/earth-resources/activities/rp4-a.html
