Task group code,Grade,URL
E1,E,https://learn.henley.id.au/science/energy/activities/e1-e.html
E1,D,https://learn.henley.id.au/science/energy/activities/e1-d.html
E1,C,https://learn.henley.id.au/science/energy/activities/e1-c.html
E1,B,https://learn.henley.id.au/science/energy/activities/e1-b.html
E1,A,https://learn.henley.id.au/science/energy/activities/e1-a.html
E2,E,https://learn.henley.id.au/science/energy/activities/e2-e.html
E2,D,https://learn.henley.id.au/science/energy/activities/e2-d.html
E2,C,https://learn.henley.id.au/science/energy/activities/e2-c.html
E2,B,https://learn.henley.id.au/science/energy/activities/e2-b.html
E2,A,https://learn.henley.id.au/science/energy/activities/e2-a.html
E3,E,https://learn.henley.id.au/science/energy/activities/e3-e.html
E3,D,https://learn.henley.id.au/science/energy/activities/e3-d.html
E3,C,https://learn.henley.id.au/science/energy/activities/e3-c.html
E3,B,https://learn.henley.id.au/science/energy/activities/e3-b.html
E3,A,https://learn.henley.id.au/science/energy/activities/e3-a.html
E4,E,https://learn.henley.id.au/science/energy/activities/e4-e.html
E4,D,https://learn.henley.id.au/science/energy/activities/e4-d.html
E4,C,https://learn.henley.id.au/science/energy/activities/e4-c.html
E4,B,https://learn.henley.id.au/science/energy/activities/e4-b.html
E4,A,https://learn.henley.id.au/science/energy/activities/e4-a.html
E5,E,https://learn.henley.id.au/science/energy/activities/e5-e.html
E5,D,https://learn.henley.id.au/science/energy/activities/e5-d.html
E5,C,https://learn.henley.id.au/science/energy/activities/e5-c.html
E5,B,https://learn.henley.id.au/science/energy/activities/e5-b.html
E5,A,https://learn.henley.id.au/science/energy/activities/e5-a.html
E6,E,https://learn.henley.id.au/science/energy/activities/e6-e.html
E6,D,https://learn.henley.id.au/science/energy/activities/e6-d.html
E6,C,https://learn.henley.id.au/science/energy/activities/e6-c.html
E6,B,https://learn.henley.id.au/science/energy/activities/e6-b.html
E6,A,https://learn.henley.id.au/science/energy/activities/e6-a.html
E7,E,https://learn.henley.id.au/science/energy/activities/e7-e.html
E7,D,https://learn.henley.id.au/science/energy/activities/e7-d.html
E7,C,https://learn.henley.id.au/science/energy/activities/e7-c.html
E7,B,https://learn.henley.id.au/science/energy/activities/e7-b.html
E7,A,https://learn.henley.id.au/science/energy/activities/e7-a.html
E8,E,https://learn.henley.id.au/science/energy/activities/e8-e.html
E8,D,https://learn.henley.id.au/science/energy/activities/e8-d.html
E8,C,https://learn.henley.id.au/science/energy/activities/e8-c.html
E8,B,https://learn.henley.id.au/science/energy/activities/e8-b.html
E8,A,https://learn.henley.id.au/science/energy/activities/e8-a.html
E9,E,https://learn.henley.id.au/science/energy/activities/e9-e.html
E9,D,https://learn.henley.id.au/science/energy/activities/e9-d.html
E9,C,https://learn.henley.id.au/science/energy/activities/e9-c.html
E9,B,https://learn.henley.id.au/science/energy/activities/e9-b.html
E9,A,https://learn.henley.id.au/science/energy/activities/e9-a.html
EP1,E,https://learn.henley.id.au/science/energy/activities/ep1-e.html
EP1,D,https://learn.henley.id.au/science/energy/activities/ep1-d.html
EP1,C,https://learn.henley.id.au/science/energy/activities/ep1-c.html
EP1,B,https://learn.henley.id.au/science/energy/activities/ep1-b.html
EP1,A,https://learn.henley.id.au/science/energy/activities/ep1-a.html
EP2,E,https://learn.henley.id.au/science/energy/activities/ep2-e.html
EP2,D,https://learn.henley.id.au/science/energy/activities/ep2-d.html
EP2,C,https://learn.henley.id.au/science/energy/activities/ep2-c.html
EP2,B,https://learn.henley.id.au/science/energy/activities/ep2-b.html
EP2,A,https://learn.henley.id.au/science/energy/activities/ep2-a.html
EP3,E,https://learn.henley.id.au/science/energy/activities/ep3-e.html
EP3,D,https://learn.henley.id.au/science/energy/activities/ep3-d.html
EP3,C,https://learn.henley.id.au/science/energy/activities/ep3-c.html
EP3,B,https://learn.henley.id.au/science/energy/activities/ep3-b.html
EP3,A,https://learn.henley.id.au/science/energy/activities/ep3-a.html
EP4,E,https://learn.henley.id.au/science/energy/activities/ep4-e.html
EP4,D,https://learn.henley.id.au/science/energy/activities/ep4-d.html
EP4,C,https://learn.henley.id.au/science/energy/activities/ep4-c.html
EP4,B,https://learn.henley.id.au/science/energy/activities/ep4-b.html
EP4,A,https://learn.henley.id.au/science/energy/activities/ep4-a.html
EP5,E,https://learn.henley.id.au/science/energy/activities/ep5-e.html
EP5,D,https://learn.henley.id.au/science/energy/activities/ep5-d.html
EP5,C,https://learn.henley.id.au/science/energy/activities/ep5-c.html
EP5,B,https://learn.henley.id.au/science/energy/activities/ep5-b.html
EP5,A,https://learn.henley.id.au/science/energy/activities/ep5-a.html
EP6,E,https://learn.henley.id.au/science/energy/activities/ep6-e.html
EP6,D,https://learn.henley.id.au/science/energy/activities/ep6-d.html
EP6,C,https://learn.henley.id.au/science/energy/activities/ep6-c.html
EP6,B,https://learn.henley.id.au/science/energy/activities/ep6-b.html
EP6,A,https://learn.henley.id.au/science/energy/activities/ep6-a.html
EP7,E,https://learn.henley.id.au/science/energy/activities/ep7-e.html
EP7,D,https://learn.henley.id.au/science/energy/activities/ep7-d.html
EP7,C,https://learn.henley.id.au/science/energy/activities/ep7-c.html
EP7,B,https://learn.henley.id.au/science/energy/activities/ep7-b.html
EP7,A,https://learn.henley.id.au/science/energy/activities/ep7-a.html
EP8,E,https://learn.henley.id.au/science/energy/activities/ep8-e.html
EP8,D,https://learn.henley.id.au/science/energy/activities/ep8-d.html
EP8,C,https://learn.henley.id.au/science/energy/activities/ep8-c.html
EP8,B,https://learn.henley.id.au/science/energy/activities/ep8-b.html
EP8,A,https://learn.henley.id.au/science/energy/activities/ep8-a.html
EP9,E,https://learn.henley.id.au/science/energy/activities/ep9-e.html
EP9,D,https://learn.henley.id.au/science/energy/activities/ep9-d.html
EP9,C,https://learn.henley.id.au/science/energy/activities/ep9-c.html
EP9,B,https://learn.henley.id.au/science/energy/activities/ep9-b.html
EP9,A,https://learn.henley.id.au/science/energy/activities/ep9-a.html
