Task group code,Grade,URL
D1,I,https://learn.henley.id.au/science/st5-disease/activities/d1-i.html
D1,E,https://learn.henley.id.au/science/st5-disease/activities/d1-e.html
D1,D,https://learn.henley.id.au/science/st5-disease/activities/d1-d.html
D1,C,https://learn.henley.id.au/science/st5-disease/activities/d1-c.html
D1,B,https://learn.henley.id.au/science/st5-disease/activities/d1-b.html
D1,A,https://learn.henley.id.au/science/st5-disease/activities/d1-a.html
D2,I,https://learn.henley.id.au/science/st5-disease/activities/d2-i.html
D2,E,https://learn.henley.id.au/science/st5-disease/activities/d2-e.html
D2,D,https://learn.henley.id.au/science/st5-disease/activities/d2-d.html
D2,C,https://learn.henley.id.au/science/st5-disease/activities/d2-c.html
D2,B,https://learn.henley.id.au/science/st5-disease/activities/d2-b.html
D2,A,https://learn.henley.id.au/science/st5-disease/activities/d2-a.html
D3,I,https://learn.henley.id.au/science/st5-disease/activities/d3-i.html
D3,E,https://learn.henley.id.au/science/st5-disease/activities/d3-e.html
D3,D,https://learn.henley.id.au/science/st5-disease/activities/d3-d.html
D3,C,https://learn.henley.id.au/science/st5-disease/activities/d3-c.html
D3,B,https://learn.henley.id.au/science/st5-disease/activities/d3-b.html
D3,A,https://learn.henley.id.au/science/st5-disease/activities/d3-a.html
D4,I,https://learn.henley.id.au/science/st5-disease/activities/d4-i.html
D4,E,https://learn.henley.id.au/science/st5-disease/activities/d4-e.html
D4,D,https://learn.henley.id.au/science/st5-disease/activities/d4-d.html
D4,C,https://learn.henley.id.au/science/st5-disease/activities/d4-c.html
D4,B,https://learn.henley.id.au/science/st5-disease/activities/d4-b.html
D4,A,https://learn.henley.id.au/science/st5-disease/activities/d4-a.html
D5,I,https://learn.henley.id.au/science/st5-disease/activities/d5-i.html
D5,E,https://learn.henley.id.au/science/st5-disease/activities/d5-e.html
D5,D,https://learn.henley.id.au/science/st5-disease/activities/d5-d.html
D5,C,https://learn.henley.id.au/science/st5-disease/activities/d5-c.html
D5,B,https://learn.henley.id.au/science/st5-disease/activities/d5-b.html
D5,A,https://learn.henley.id.au/science/st5-disease/activities/d5-a.html
D6,I,https://learn.henley.id.au/science/st5-disease/activities/d6-i.html
