Task group code,Grade,URL
E1,I,https://learn.henley.id.au/science/st5-energy/activities/e1-i.html
E1,E,https://learn.henley.id.au/science/st5-energy/activities/e1-e.html
E1,D,https://learn.henley.id.au/science/st5-energy/activities/e1-d.html
E1,C,https://learn.henley.id.au/science/st5-energy/activities/e1-c.html
E1,B,https://learn.henley.id.au/science/st5-energy/activities/e1-b.html
E1,A,https://learn.henley.id.au/science/st5-energy/activities/e1-a.html
E2,I,https://learn.henley.id.au/science/st5-energy/activities/e2-i.html
E2,E,https://learn.henley.id.au/science/st5-energy/activities/e2-e.html
E2,D,https://learn.henley.id.au/science/st5-energy/activities/e2-d.html
E2,C,https://learn.henley.id.au/science/st5-energy/activities/e2-c.html
E2,B,https://learn.henley.id.au/science/st5-energy/activities/e2-b.html
E2,A,https://learn.henley.id.au/science/st5-energy/activities/e2-a.html
E3,I,https://learn.henley.id.au/science/st5-energy/activities/e3-i.html
E3,E,https://learn.henley.id.au/science/st5-energy/activities/e3-e.html
E3,D,https://learn.henley.id.au/science/st5-energy/activities/e3-d.html
E3,C,https://learn.henley.id.au/science/st5-energy/activities/e3-c.html
E3,B,https://learn.henley.id.au/science/st5-energy/activities/e3-b.html
E3,A,https://learn.henley.id.au/science/st5-energy/activities/e3-a.html
E4,I,https://learn.henley.id.au/science/st5-energy/activities/e4-i.html
E4,E,https://learn.henley.id.au/science/st5-energy/activities/e4-e.html
E4,D,https://learn.henley.id.au/science/st5-energy/activities/e4-d.html
E4,C,https://learn.henley.id.au/science/st5-energy/activities/e4-c.html
E4,B,https://learn.henley.id.au/science/st5-energy/activities/e4-b.html
E4,A,https://learn.henley.id.au/science/st5-energy/activities/e4-a.html
E5,I,https://learn.henley.id.au/science/st5-energy/activities/e5-i.html
E5,E,https://learn.henley.id.au/science/st5-energy/activities/e5-e.html
E5,D,https://learn.henley.id.au/science/st5-energy/activities/e5-d.html
E5,C,https://learn.henley.id.au/science/st5-energy/activities/e5-c.html
E5,B,https://learn.henley.id.au/science/st5-energy/activities/e5-b.html
E5,A,https://learn.henley.id.au/science/st5-energy/activities/e5-a.html
E6,I,https://learn.henley.id.au/science/st5-energy/activities/e6-i.html
E6,E,https://learn.henley.id.au/science/st5-energy/activities/e6-e.html
E6,D,https://learn.henley.id.au/science/st5-energy/activities/e6-d.html
E6,C,https://learn.henley.id.au/science/st5-energy/activities/e6-c.html
E6,B,https://learn.henley.id.au/science/st5-energy/activities/e6-b.html
E6,A,https://learn.henley.id.au/science/st5-energy/activities/e6-a.html
E7,I,https://learn.henley.id.au/science/st5-energy/activities/e7-i.html
E7,E,https://learn.henley.id.au/science/st5-energy/activities/e7-e.html
E7,D,https://learn.henley.id.au/science/st5-energy/activities/e7-d.html
E7,C,https://learn.henley.id.au/science/st5-energy/activities/e7-c.html
E7,B,https://learn.henley.id.au/science/st5-energy/activities/e7-b.html
E7,A,https://learn.henley.id.au/science/st5-energy/activities/e7-a.html
E8,I,https://learn.henley.id.au/science/st5-energy/activities/e8-i.html
E8,E,https://learn.henley.id.au/science/st5-energy/activities/e8-e.html
E8,D,https://learn.henley.id.au/science/st5-energy/activities/e8-d.html
E8,C,https://learn.henley.id.au/science/st5-energy/activities/e8-c.html
E8,B,https://learn.henley.id.au/science/st5-energy/activities/e8-b.html
E8,A,https://learn.henley.id.au/science/st5-energy/activities/e8-a.html
E9,I,https://learn.henley.id.au/science/st5-energy/activities/e9-i.html
E9,E,https://learn.henley.id.au/science/st5-energy/activities/e9-e.html
E9,D,https://learn.henley.id.au/science/st5-energy/activities/e9-d.html
E9,C,https://learn.henley.id.au/science/st5-energy/activities/e9-c.html
E9,B,https://learn.henley.id.au/science/st5-energy/activities/e9-b.html
E9,A,https://learn.henley.id.au/science/st5-energy/activities/e9-a.html
EP1,I,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
EP1,E,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
EP1,D,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
EP1,C,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
EP1,B,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
EP1,A,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
EP2,I,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
EP2,E,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
EP2,D,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
EP2,C,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
EP2,B,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
EP2,A,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
EP3,I,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
EP3,E,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
EP3,D,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
EP3,C,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
EP3,B,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
EP3,A,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
EP4,I,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
EP4,E,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
EP4,D,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
EP4,C,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
EP4,B,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
EP4,A,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
EP5,I,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
EP5,E,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
EP5,D,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
EP5,C,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
EP5,B,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
EP5,A,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
EP6,I,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
EP6,E,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
EP6,D,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
EP6,C,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
EP6,B,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
EP6,A,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
