Task group code,Grade,URL
S1,I,https://learn.henley.id.au/science/earth-resources/activities/s1-i.html
S1,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s1-e.html
S1,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s1-d.html
S1,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s1-c.html
S1,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s1-b.html
S1,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s1-a.html
S2,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s2-i.html
S2,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s2-e.html
S2,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s2-d.html
S2,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s2-c.html
S2,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s2-b.html
S2,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s2-a.html
S3,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s3-i.html
S3,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s3-e.html
S3,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s3-d.html
S3,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s3-c.html
S3,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s3-b.html
S3,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s3-a.html
S4,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s4-i.html
S4,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s4-e.html
S4,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s4-d.html
S4,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s4-c.html
S4,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s4-b.html
S4,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s4-a.html
S5,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s5-i.html
S5,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s5-e.html
S5,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s5-d.html
S5,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s5-c.html
S5,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s5-b.html
S5,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s5-a.html
S6,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s6-i.html
S6,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s6-e.html
S6,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s6-d.html
S6,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s6-c.html
S6,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s6-b.html
S6,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s6-a.html
S7,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s7-i.html
S7,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s7-e.html
S7,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s7-d.html
S7,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s7-c.html
S7,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s7-b.html
S7,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s7-a.html
S8,I,https://learn.henley.id.au/science/environmental-sustainability/activities/s8-i.html
S8,E,https://learn.henley.id.au/science/environmental-sustainability/activities/s8-e.html
S8,D,https://learn.henley.id.au/science/environmental-sustainability/activities/s8-d.html
S8,C,https://learn.henley.id.au/science/environmental-sustainability/activities/s8-c.html
S8,B,https://learn.henley.id.au/science/environmental-sustainability/activities/s8-b.html
S8,A,https://learn.henley.id.au/science/environmental-sustainability/activities/s8-a.html
SP1,I,https://learn.henley.id.au/science/environmental-sustainability/activities/sp1-i.html
SP1,E,https://learn.henley.id.au/science/environmental-sustainability/activities/sp1-e.html
SP1,D,https://learn.henley.id.au/science/environmental-sustainability/activities/sp1-d.html
SP1,C,https://learn.henley.id.au/science/environmental-sustainability/activities/sp1-c.html
SP1,B,https://learn.henley.id.au/science/environmental-sustainability/activities/sp1-b.html
SP1,A,https://learn.henley.id.au/science/environmental-sustainability/activities/sp1-a.html
SP2,I,https://learn.henley.id.au/science/environmental-sustainability/activities/sp2-i.html
SP2,E,https://learn.henley.id.au/science/environmental-sustainability/activities/sp2-e.html
SP2,D,https://learn.henley.id.au/science/environmental-sustainability/activities/sp2-d.html
SP2,C,https://learn.henley.id.au/science/environmental-sustainability/activities/sp2-c.html
SP2,B,https://learn.henley.id.au/science/environmental-sustainability/activities/sp2-b.html
SP2,A,https://learn.henley.id.au/science/environmental-sustainability/activities/sp2-a.html
SP3,I,https://learn.henley.id.au/science/environmental-sustainability/activities/sp3-i.html
SP3,E,https://learn.henley.id.au/science/environmental-sustainability/activities/sp3-e.html
SP3,D,https://learn.henley.id.au/science/environmental-sustainability/activities/sp3-d.html
