Active,Current,Task group code,Task group name,URL
1,1,S1,What is sustainability?,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s1.html
0,0,S2,Climate and weather,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s2.html
0,0,S3,The Greenhouse Effect,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s3.html
0,0,S4,Climate change,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s4.html
0,0,S5,Effects of climate change,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s5.html
0,0,S6,Pollution,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s6.html
0,0,S7,Using resources sustainably,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s7.html
0,0,S8,Recycling,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/s8.html
0,0,SP1,The Greenhouse Effect,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/sp1.html
0,0,SP2,Thermal Expansion,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/sp2.html
0,0,SP3,Melting ice and sea level rise,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/sp3.html
0,0,SP4,Ocean acidification,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/sp4.html
0,0,SP5,Eutrophication,https://learn.henley.id.au/science/st5-environmental-sustainability/activities/sp5.html
