Active,Current,Task group code,Task group name,URL
1,1,D1,Homeostasis,https://learn.henley.id.au/science/st5-disease/activities/d1.html
0,0,D2,Nervous and endocrine systems,https://learn.henley.id.au/science/st5-disease/activities/d2.html
0,0,D3,Infectious diseases,https://learn.henley.id.au/science/st5-disease/activities/d3.html
0,0,D4,Infectious disease transmission,https://learn.henley.id.au/science/st5-disease/activities/d4.html
0,0,D5,The immune system,https://learn.henley.id.au/science/st5-disease/activities/d5.html
0,0,D6,Controlling infectious diseases,https://learn.henley.id.au/science/st5-disease/activities/d6.html
0,0,D7,Non-infectious diseases,https://learn.henley.id.au/science/st5-disease/activities/d7.html
0,0,D8,Bush medicine,https://learn.henley.id.au/science/st5-disease/activities/d8.html
0,0,D9,Case study,https://learn.henley.id.au/science/st5-disease/activities/d9.html
0,0,DP1,Reaction time,https://learn.henley.id.au/science/st5-disease/activities/dp1.html
0,0,DP2,Brain dissection,https://learn.henley.id.au/science/st5-disease/activities/dp2.html
0,0,DP3,Where are the germs?,https://learn.henley.id.au/science/st5-disease/activities/dp3.html
0,0,DP4,Infectious disease and vaccination,https://learn.henley.id.au/science/st5-disease/activities/dp4.html
0,0,DP5,Cardiovascular disease in Australia,https://learn.henley.id.au/science/st5-disease/activities/dp5.html
0,0,DP6,Bush Medicine,https://learn.henley.id.au/science/st5-disease/activities/dp6.html
