Active,Current,Task group code,Task group name,URL
1,1,E1,Electric Circuits,https://learn.henley.id.au/science/st5-energy/activities/e1.html
0,0,E2,Ohm's Law,https://learn.henley.id.au/science/st5-energy/activities/e2.html
0,0,E3,Electrical energy,https://learn.henley.id.au/science/st5-energy/activities/e3.html
0,0,E4,Laws of Conservation,https://learn.henley.id.au/science/st5-energy/activities/e4.html
0,0,E5,Efficiency,https://learn.henley.id.au/science/st5-energy/activities/e5.html
0,0,E6,Smart energy use,https://learn.henley.id.au/science/st5-energy/activities/e6.html
0,0,E7,Energy sources,https://learn.henley.id.au/science/st5-energy/activities/e7.html
0,0,E8,Energy use globally,https://learn.henley.id.au/science/st5-energy/activities/e8.html
0,0,E9,Case study,https://learn.henley.id.au/science/st5-energy/activities/e9.html
0,0,EP1,Series and parallel circuits,https://learn.henley.id.au/science/st5-energy/activities/ep1.html
0,0,EP2,Ohm's Law,https://learn.henley.id.au/science/st5-energy/activities/ep2.html
0,0,EP3,Using an energy/power meter,https://learn.henley.id.au/science/st5-energy/activities/ep3.html
0,0,EP4,Bouncing balls,https://learn.henley.id.au/science/st5-energy/activities/ep4.html
0,0,EP5,Which cup is the best?,https://learn.henley.id.au/science/st5-energy/activities/ep5.html
0,0,EP6,Generating electricity,https://learn.henley.id.au/science/st5-energy/activities/ep6.html
